dataset,unit,option
git,add,-e
git,add,--edit
git,add,-f
git,add,--force
git,add,-i
git,add,--ignore-errors
git,add,--ignore-missing
git,add,--ignore-removal
git,add,--intent-to-add
git,add,--interactive
git,add,--inter-hunk-context
git,add,-n
git,add,-N
git,add,--no-all
git,add,--no-auto-advance
git,add,--no-chmod
git,add,--no-dry-run
git,add,--no-edit
git,add,--no-force
git,add,--no-ignore-errors
git,add,--no-ignore-missing
git,add,--no-ignore-removal
git,add,--no-intent-to-add
git,add,--no-interactive
git,add,--no-patch
git,add,--no-pathspec-file-nul
git,add,--no-pathspec-from-file
git,add,--no-refresh
git,add,--no-renormalize
git,add,--no-sparse
git,add,--no-update
git,add,--no-verbose
git,add,--no-warn-embedded-repo
git,add,-p
git,add,--patch
git,add,--pathspec-file-nul
git,add,--pathspec-from-file
git,add,--refresh
git,add,--renormalize
git,add,--sparse
git,add,-u
git,add,-U
git,add,--unified
git,add,--update
git,add,-v
git,add,--verbose
git,add,--warn-embedded-repo
git,am,--
git,am,-3
git,am,--3way
git,am,--abort
git,am,--allow-empty
git,am,-b
git,am,--binary
git,am,-c
git,am,-C
git,am,--committer-date-is-author-date
git,am,--continue
git,am,--directory
git,am,--empty
git,am,--exclude
git,am,--gpg-sign
git,am,-i
git,am,--ignore-date
git,am,--ignore-space-change
git,am,--ignore-whitespace
git,am,--include
git,am,--interactive
git,am,-k
git,am,--keep
git,am,--keep-cr
git,am,--keep-non-patch
git,am,-m
git,am,--message-id
git,am,-n
git,am,--no-3way
git,am,--no-binary
git,am,--no-committer-date-is-author-date
git,am,--no-directory
git,am,--no-exclude
git,am,--no-gpg-sign
git,am,--no-ignore-date
git,am,--no-ignore-space-change
git,am,--no-ignore-whitespace
git,am,--no-include
git,am,--no-interactive
git,am,--no-keep
git,am,--no-keep-cr
git,am,--no-keep-non-patch
git,am,--no-message-id
git,am,--no-patch-format
git,am,--no-quiet
git,am,--no-rebasing
git,am,--no-reject
git,am,--no-rerere-autoupdate
git,am,--no-resolvemsg
git,am,--no-scissors
git,am,--no-signoff
git,am,--no-utf8
git,am,--no-verify
git,am,--no-whitespace
git,am,-p
git,am,--patch-format
git,am,-q
git,am,--quiet
git,am,--quit
git,am,--quoted-cr
git,am,-r
git,am,--rebasing
git,am,--reject
git,am,--rerere-autoupdate
git,am,--resolved
git,am,--resolvemsg
git,am,--retry
git,am,-s
git,am,-S
git,am,--scissors
git,am,--show-current-patch
git,am,--signoff
git,am,--skip
git,am,-u
git,am,--utf8
git,am,--verify
git,am,--whitespace
git,annotate,--
git,annotate,--abbrev
git,annotate,--anchored
git,annotate,-b
git,annotate,--binary
git,annotate,--break-rewrites
git,annotate,-c
git,annotate,-C
git,annotate,--check
git,annotate,--color
git,annotate,--color-by-age
git,annotate,--color-lines
git,annotate,--color-moved
git,annotate,--color-moved-ws
git,annotate,--color-words
git,annotate,--compact-summary
git,annotate,--contents
git,annotate,--cumulative
git,annotate,--date
git,annotate,--default-prefix
git,annotate,--diff-algorithm
git,annotate,--diff-filter
git,annotate,--dirstat
git,annotate,--dirstat-by-file
git,annotate,--dst-prefix
git,annotate,-e
git,annotate,--encoding
git,annotate,--exit-code
git,annotate,--ext-diff
git,annotate,-f
git,annotate,--find-copies
git,annotate,--find-copies-harder
git,annotate,--find-object
git,annotate,--find-renames
git,annotate,--first-parent
git,annotate,--follow
git,annotate,--full-index
git,annotate,--function-context
git,annotate,-h
git,annotate,--histogram
git,annotate,--ignore-all-space
git,annotate,--ignore-blank-lines
git,annotate,--ignore-cr-at-eol
git,annotate,--ignore-matching-lines
git,annotate,--ignore-rev
git,annotate,--ignore-revs-file
git,annotate,--ignore-space-at-eol
git,annotate,--ignore-space-change
git,annotate,--ignore-submodules
git,annotate,--incremental
git,annotate,--indent-heuristic
git,annotate,--inter-hunk-context
git,annotate,--irreversible-delete
git,annotate,--ita-invisible-in-index
git,annotate,--ita-visible-in-index
git,annotate,-l
git,annotate,-L
git,annotate,--line-porcelain
git,annotate,--line-prefix
git,annotate,-M
git,annotate,--max-depth
git,annotate,--minimal
git,annotate,-n
git,annotate,--name-only
git,annotate,--name-status
git,annotate,--no-abbrev
git,annotate,--no-color
git,annotate,--no-color-by-age
git,annotate,--no-color-lines
git,annotate,--no-color-moved
git,annotate,--no-color-moved-ws
git,annotate,--no-compact-summary
git,annotate,--no-contents
git,annotate,--no-exit-code
git,annotate,--no-ext-diff
git,annotate,--no-find-copies-harder
git,annotate,--no-follow
git,annotate,--no-full-index
git,annotate,--no-function-context
git,annotate,--no-ignore-matching-lines
git,annotate,--no-ignore-rev
git,annotate,--no-ignore-revs-file
git,annotate,--no-incremental
git,annotate,--no-indent-heuristic
git,annotate,--no-line-porcelain
git,annotate,--no-patch
git,annotate,--no-porcelain
git,annotate,--no-prefix
git,annotate,--no-progress
git,annotate,--no-quiet
git,annotate,--no-relative
git,annotate,--no-rename-empty
git,annotate,--no-renames
git,annotate,--no-root
git,annotate,--no-score-debug
git,annotate,--no-show-email
git,annotate,--no-show-name
git,annotate,--no-show-number
git,annotate,--no-show-stats
git,annotate,--no-text
git,annotate,--no-textconv
git,annotate,--numstat
git,annotate,--output
git,annotate,--output-indicator-context
git,annotate,--output-indicator-new
git,annotate,--output-indicator-old
git,annotate,-p
git,annotate,--patch
git,annotate,--patch-with-raw
git,annotate,--patch-with-stat
git,annotate,--patience
git,annotate,--pickaxe-all
git,annotate,--pickaxe-regex
git,annotate,--porcelain
git,annotate,--progress
git,annotate,--quiet
git,annotate,--raw
git,annotate,--relative
git,annotate,--rename-empty
git,annotate,--reverse
git,annotate,--root
git,annotate,--rotate-to
git,annotate,-s
git,annotate,-S
git,annotate,--score-debug
git,annotate,--shortstat
git,annotate,--show-email
git,annotate,--show-name
git,annotate,--show-number
git,annotate,--show-stats
git,annotate,--skip-to
git,annotate,--src-prefix
git,annotate,--stat
git,annotate,--stat-count
git,annotate,--stat-graph-width
git,annotate,--stat-name-width
git,annotate,--stat-width
git,annotate,--submodule
git,annotate,--summary
git,annotate,-t
git,annotate,--text
git,annotate,--textconv
git,annotate,--unified
git,annotate,-w
git,annotate,--word-diff
git,annotate,--word-diff-regex
git,annotate,--ws-error-highlight
git,apply,--
git,apply,-3
git,apply,--3way
git,apply,--add
git,apply,--allow-binary-replacement
git,apply,--allow-empty
git,apply,--allow-overlap
git,apply,--apply
git,apply,--binary
git,apply,--build-fake-ancestor
git,apply,-C
git,apply,--cached
git,apply,--check
git,apply,--directory
git,apply,--exclude
git,apply,--ignore-space-change
git,apply,--ignore-whitespace
git,apply,--inaccurate-eof
git,apply,--include
git,apply,--index
git,apply,--intent-to-add
git,apply,-N
git,apply,--no-3way
git,apply,--no-add
git,apply,--no-allow-binary-replacement
git,apply,--no-allow-empty
git,apply,--no-allow-overlap
git,apply,--no-apply
git,apply,--no-binary
git,apply,--no-build-fake-ancestor
git,apply,--no-cached
git,apply,--no-check
git,apply,--no-directory
git,apply,--no-ignore-space-change
git,apply,--no-ignore-whitespace
git,apply,--no-inaccurate-eof
git,apply,--no-index
git,apply,--no-intent-to-add
git,apply,--no-numstat
git,apply,--no-quiet
git,apply,--no-recount
git,apply,--no-reject
git,apply,--no-reverse
git,apply,--no-stat
git,apply,--no-summary
git,apply,--no-unidiff-zero
git,apply,--no-unsafe-paths
git,apply,--no-verbose
git,apply,--no-whitespace
git,apply,--numstat
git,apply,--ours
git,apply,-p
git,apply,-q
git,apply,--quiet
git,apply,-R
git,apply,--recount
git,apply,--reject
git,apply,--reverse
git,apply,--stat
git,apply,--summary
git,apply,--theirs
git,apply,--unidiff-zero
git,apply,--union
git,apply,--unsafe-paths
git,apply,-v
git,apply,--verbose
git,apply,--whitespace
git,apply,-z
git,archive,--
git,archive,--add-file
git,archive,--add-virtual-file
git,archive,--exec
git,archive,--format
git,archive,-l
git,archive,--list
git,archive,--mtime
git,archive,--no-add-file
git,archive,--no-add-virtual-file
git,archive,--no-exec
git,archive,--no-format
git,archive,--no-list
git,archive,--no-output
git,archive,--no-prefix
git,archive,--no-remote
git,archive,--no-verbose
git,archive,--no-worktree-attributes
git,archive,-o
git,archive,--output
git,archive,--prefix
git,archive,--remote
git,archive,-v
git,archive,--verbose
git,archive,--worktree-attributes
git,backfill,--min-batch-size
git,backfill,--no-sparse
git,backfill,--sparse
git,bisect,--first-parent
git,bisect,--no-checkout
git,bisect,--term-
git,bisect,--term-bad
git,bisect,--term-good
git,bisect,--term-new
git,blame,--
git,blame,--abbrev
git,blame,-b
git,blame,-c
git,blame,-C
git,blame,--color-by-age
git,blame,--color-lines
git,blame,--contents
git,blame,--date
git,blame,--diff-algorithm
git,blame,-e
git,blame,--encoding
git,blame,-f
git,blame,--first-parent
git,blame,-h
git,blame,--ignore-rev
git,blame,--ignore-revs-file
git,blame,--incremental
git,blame,-l
git,blame,-L
git,blame,--line-porcelain
git,blame,-M
git,blame,--minimal
git,blame,-n
git,blame,--no-abbrev
git,blame,--no-color-by-age
git,blame,--no-color-lines
git,blame,--no-contents
git,blame,--no-ignore-rev
git,blame,--no-ignore-revs-file
git,blame,--no-incremental
git,blame,--no-line-porcelain
git,blame,--no-minimal
git,blame,--no-porcelain
git,blame,--no-progress
git,blame,--no-root
git,blame,--no-score-debug
git,blame,--no-show-email
git,blame,--no-show-name
git,blame,--no-show-number
git,blame,--no-show-stats
git,blame,-p
git,blame,--porcelain
git,blame,--progress
git,blame,--reverse
git,blame,--root
git,blame,-s
git,blame,-S
git,blame,--score-debug
git,blame,--show-email
git,blame,--show-name
git,blame,--show-number
git,blame,--show-stats
git,blame,-t
git,blame,-w
git,branch,--
git,branch,-a
git,branch,--abbrev
git,branch,--all
git,branch,-c
git,branch,-C
git,branch,--color
git,branch,--column
git,branch,--contains
git,branch,--copy
git,branch,--create-reflog
git,branch,-d
git,branch,-D
git,branch,--delete
git,branch,--edit-description
git,branch,-f
git,branch,--force
git,branch,--format
git,branch,-i
git,branch,--ignore-case
git,branch,-l
git,branch,--list
git,branch,-m
git,branch,-M
git,branch,--merged
git,branch,--move
git,branch,--no-abbrev
git,branch,--no-color
git,branch,--no-column
git,branch,--no-contains
git,branch,--no-copy
git,branch,--no-create-reflog
git,branch,--no-delete
git,branch,--no-edit-description
git,branch,--no-force
git,branch,--no-format
git,branch,--no-ignore-case
git,branch,--no-list
git,branch,--no-merged
git,branch,--no-move
git,branch,--no-omit-empty
git,branch,--no-points-at
git,branch,--no-quiet
git,branch,--no-recurse-submodules
git,branch,--no-set-upstream
git,branch,--no-set-upstream-to
git,branch,--no-show-current
git,branch,--no-sort
git,branch,--no-track
git,branch,--no-unset-upstream
git,branch,--no-verbose
git,branch,--omit-empty
git,branch,--points-at
git,branch,-q
git,branch,--quiet
git,branch,-r
git,branch,--recurse-submodules
git,branch,--remotes
git,branch,--set-upstream
git,branch,--set-upstream-to
git,branch,--show-current
git,branch,--sort
git,branch,-t
git,branch,--track
git,branch,-u
git,branch,--unset-upstream
git,branch,-v
git,branch,--verbose
git,branch,--with
git,branch,--without
git,bugreport,--
git,bugreport,--diagnose
git,bugreport,--no-diagnose
git,bugreport,--no-output-directory
git,bugreport,--no-suffix
git,bugreport,-o
git,bugreport,--output-directory
git,bugreport,-s
git,bugreport,--suffix
git,bundle,--all
git,bundle,--progress
git,bundle,-q
git,bundle,--quiet
git,bundle,--version
git,cat-file,--
git,cat-file,--allow-unknown-type
git,cat-file,--batch
git,cat-file,--batch-all-objects
git,cat-file,--batch-check
git,cat-file,--batch-command
git,cat-file,--buffer
git,cat-file,-e
git,cat-file,--filter
git,cat-file,--filters
git,cat-file,--follow-symlinks
git,cat-file,--mailmap
git,cat-file,--no-allow-unknown-type
git,cat-file,--no-buffer
git,cat-file,--no-filter
git,cat-file,--no-follow-symlinks
git,cat-file,--no-mailmap
git,cat-file,--no-path
git,cat-file,--no-unordered
git,cat-file,--no-use-mailmap
git,cat-file,-p
git,cat-file,--path
git,cat-file,-s
git,cat-file,-t
git,cat-file,--textconv
git,cat-file,--unordered
git,cat-file,--use-mailmap
git,cat-file,-z
git,cat-file,-Z
git,check-attr,--
git,check-attr,-a
git,check-attr,--all
git,check-attr,--cached
git,check-attr,--no-all
git,check-attr,--no-cached
git,check-attr,--no-source
git,check-attr,--no-stdin
git,check-attr,--source
git,check-attr,--stdin
git,check-attr,-z
git,check-ignore,--
git,check-ignore,--index
git,check-ignore,-n
git,check-ignore,--no-index
git,check-ignore,--non-matching
git,check-ignore,--no-non-matching
git,check-ignore,--no-quiet
git,check-ignore,--no-stdin
git,check-ignore,--no-verbose
git,check-ignore,-q
git,check-ignore,--quiet
git,check-ignore,--stdin
git,check-ignore,-v
git,check-ignore,--verbose
git,check-ignore,-z
git,check-mailmap,--
git,check-mailmap,--mailmap-blob
git,check-mailmap,--mailmap-file
git,check-mailmap,--no-mailmap-blob
git,check-mailmap,--no-mailmap-file
git,check-mailmap,--no-stdin
git,check-mailmap,--stdin
git,checkout-index,--
git,checkout-index,-a
git,checkout-index,--all
git,checkout-index,--create
git,checkout-index,-f
git,checkout-index,--force
git,checkout-index,--ignore-skip-worktree-bits
git,checkout-index,--index
git,checkout-index,-n
git,checkout-index,--no-all
git,checkout-index,--no-create
git,checkout-index,--no-force
git,checkout-index,--no-ignore-skip-worktree-bits
git,checkout-index,--no-index
git,checkout-index,--no-prefix
git,checkout-index,--no-quiet
git,checkout-index,--no-stdin
git,checkout-index,--no-temp
git,checkout-index,--prefix
git,checkout-index,-q
git,checkout-index,--quiet
git,checkout-index,--stage
git,checkout-index,--stdin
git,checkout-index,--temp
git,checkout-index,-u
git,checkout-index,-z
git,checkout,--
git,checkout,-1
git,checkout,-2
git,checkout,-3
git,checkout,--auto-advance
git,checkout,-b
git,checkout,-B
git,checkout,--conflict
git,checkout,-d
git,checkout,--detach
git,checkout,-f
git,checkout,--force
git,checkout,--guess
git,checkout,--ignore-other-worktrees
git,checkout,--ignore-skip-worktree-bits
git,checkout,--inter-hunk-context
git,checkout,-l
git,checkout,-m
git,checkout,--merge
git,checkout,--no-auto-advance
git,checkout,--no-conflict
git,checkout,--no-detach
git,checkout,--no-force
git,checkout,--no-guess
git,checkout,--no-ignore-other-worktrees
git,checkout,--no-ignore-skip-worktree-bits
git,checkout,--no-merge
git,checkout,--no-orphan
git,checkout,--no-overlay
git,checkout,--no-overwrite-ignore
git,checkout,--no-patch
git,checkout,--no-pathspec-file-nul
git,checkout,--no-pathspec-from-file
git,checkout,--no-progress
git,checkout,--no-quiet
git,checkout,--no-recurse-submodules
git,checkout,--no-track
git,checkout,--orphan
git,checkout,--ours
git,checkout,--overlay
git,checkout,--overwrite-ignore
git,checkout,-p
git,checkout,--patch
git,checkout,--pathspec-file-nul
git,checkout,--pathspec-from-file
git,checkout,--progress
git,checkout,-q
git,checkout,--quiet
git,checkout,--recurse-submodules
git,checkout,-t
git,checkout,--theirs
git,checkout,--track
git,checkout,-U
git,checkout,--unified
git,checkout--worker,--no-prefix
git,checkout--worker,--prefix
git,checkout--worker,--worker
git,check-ref-format,--allow-onelevel
git,check-ref-format,--branch
git,check-ref-format,--no-allow-onelevel
git,check-ref-format,--normalize
git,check-ref-format,--refspec-pattern
git,cherry-pick,--
git,cherry-pick,--abort
git,cherry-pick,--allow-empty
git,cherry-pick,--allow-empty-message
git,cherry-pick,--cleanup
git,cherry-pick,--commit
git,cherry-pick,--continue
git,cherry-pick,-e
git,cherry-pick,--edit
git,cherry-pick,--empty
git,cherry-pick,--ff
git,cherry-pick,--gpg-sign
git,cherry-pick,--keep-redundant-commits
git,cherry-pick,-m
git,cherry-pick,--mainline
git,cherry-pick,-n
git,cherry-pick,--no-allow-empty
git,cherry-pick,--no-allow-empty-message
git,cherry-pick,--no-cleanup
git,cherry-pick,--no-commit
git,cherry-pick,--no-edit
git,cherry-pick,--no-ff
git,cherry-pick,--no-gpg-sign
git,cherry-pick,--no-keep-redundant-commits
git,cherry-pick,--no-mainline
git,cherry-pick,--no-rerere-autoupdate
git,cherry-pick,--no-signoff
git,cherry-pick,--no-strategy
git,cherry-pick,--no-strategy-option
git,cherry-pick,--quit
git,cherry-pick,-r
git,cherry-pick,--rerere-autoupdate
git,cherry-pick,-s
git,cherry-pick,-S
git,cherry-pick,--signoff
git,cherry-pick,--skip
git,cherry-pick,--strategy
git,cherry-pick,--strategy-option
git,cherry-pick,-x
git,cherry-pick,-X
git,cherry,--
git,cherry,--abbrev
git,cherry,--no-abbrev
git,cherry,--no-verbose
git,cherry,-v
git,cherry,--verbose
git,clean,--
git,clean,-d
git,clean,--dry-run
git,clean,-e
git,clean,--exclude
git,clean,-f
git,clean,--force
git,clean,-i
git,clean,--interactive
git,clean,-n
git,clean,--no-dry-run
git,clean,--no-force
git,clean,--no-interactive
git,clean,--no-quiet
git,clean,-q
git,clean,--quiet
git,clean,-x
git,clean,-X
git,clone,--
git,clone,-4
git,clone,-6
git,clone,--also-filter-submodules
git,clone,-b
git,clone,--bare
git,clone,--branch
git,clone,--bundle-uri
git,clone,-c
git,clone,--checkout
git,clone,--config
git,clone,--depth
git,clone,--dissociate
git,clone,--filter
git,clone,--hardlinks
git,clone,--ipv4
git,clone,--ipv6
git,clone,-j
git,clone,--jobs
git,clone,-l
git,clone,--local
git,clone,--mirror
git,clone,-n
git,clone,--naked
git,clone,--no-also-filter-submodules
git,clone,--no-bare
git,clone,--no-branch
git,clone,--no-bundle-uri
git,clone,--no-checkout
git,clone,--no-config
git,clone,--no-depth
git,clone,--no-dissociate
git,clone,--no-filter
git,clone,--no-hardlinks
git,clone,--no-jobs
git,clone,--no-local
git,clone,--no-mirror
git,clone,--no-naked
git,clone,--no-origin
git,clone,--no-progress
git,clone,--no-quiet
git,clone,--no-recurse-submodules
git,clone,--no-recursive
git,clone,--no-reference
git,clone,--no-reference-if-able
git,clone,--no-ref-format
git,clone,--no-reject-shallow
git,clone,--no-remote-submodules
git,clone,--no-revision
git,clone,--no-separate-git-dir
git,clone,--no-server-option
git,clone,--no-shallow-exclude
git,clone,--no-shallow-since
git,clone,--no-shallow-submodules
git,clone,--no-shared
git,clone,--no-single-branch
git,clone,--no-sparse
git,clone,--no-tags
git,clone,--no-template
git,clone,--no-upload-pack
git,clone,--no-verbose
git,clone,-o
git,clone,--origin
git,clone,--progress
git,clone,-q
git,clone,--quiet
git,clone,--recurse-submodules
git,clone,--recursive
git,clone,--reference
git,clone,--reference-if-able
git,clone,--ref-format
git,clone,--reject-shallow
git,clone,--remote-submodules
git,clone,--revision
git,clone,-s
git,clone,--separate-git-dir
git,clone,--server-option
git,clone,--shallow-exclude
git,clone,--shallow-since
git,clone,--shallow-submodules
git,clone,--shared
git,clone,--single-branch
git,clone,--sparse
git,clone,--tags
git,clone,--template
git,clone,-u
git,clone,--upload-pack
git,clone,-v
git,clone,--verbose
git,column,--
git,column,--command
git,column,--indent
git,column,--mode
git,column,--nl
git,column,--no-command
git,column,--no-indent
git,column,--no-mode
git,column,--no-nl
git,column,--no-padding
git,column,--no-width
git,column,--padding
git,column,--raw-mode
git,column,--width
git,commit-graph,--append
git,commit-graph,--changed-paths
git,commit-graph,--max-new-filters
git,commit-graph,--no-max-new-filters
git,commit-graph,--no-object-dir
git,commit-graph,--no-progress
git,commit-graph,--object-dir
git,commit-graph,--progress
git,commit-graph,--reachable
git,commit-graph,--shallow
git,commit-graph,--split
git,commit-graph,--stdin-commits
git,commit-graph,--stdin-packs
git,commit-tree,-F
git,commit-tree,--gpg-sign
git,commit-tree,-m
git,commit-tree,--no-gpg-sign
git,commit-tree,-p
git,commit-tree,-S
git,commit,--
git,commit,-a
git,commit,--ahead-behind
git,commit,--all
git,commit,--allow-empty
git,commit,--allow-empty-message
git,commit,--amend
git,commit,--author
git,commit,--branch
git,commit,-c
git,commit,-C
git,commit,--cleanup
git,commit,--date
git,commit,--dry-run
git,commit,-e
git,commit,--edit
git,commit,-F
git,commit,--file
git,commit,--fixup
git,commit,--gpg-sign
git,commit,-i
git,commit,--include
git,commit,--interactive
git,commit,--inter-hunk-context
git,commit,--long
git,commit,-m
git,commit,--message
git,commit,-n
git,commit,--no-ahead-behind
git,commit,--no-all
git,commit,--no-allow-empty
git,commit,--no-allow-empty-message
git,commit,--no-amend
git,commit,--no-author
git,commit,--no-branch
git,commit,--no-cleanup
git,commit,--no-date
git,commit,--no-dry-run
git,commit,--no-edit
git,commit,--no-file
git,commit,--no-fixup
git,commit,--no-gpg-sign
git,commit,--no-include
git,commit,--no-interactive
git,commit,--no-long
git,commit,--no-message
git,commit,--no-null
git,commit,--no-only
git,commit,--no-patch
git,commit,--no-pathspec-file-nul
git,commit,--no-pathspec-from-file
git,commit,--no-porcelain
git,commit,--no-post-rewrite
git,commit,--no-quiet
git,commit,--no-reedit-message
git,commit,--no-reset-author
git,commit,--no-reuse-message
git,commit,--no-short
git,commit,--no-signoff
git,commit,--no-squash
git,commit,--no-status
git,commit,--no-template
git,commit,--no-trailer
git,commit,--no-untracked-files
git,commit,--no-verbose
git,commit,--no-verify
git,commit,--null
git,commit,-o
git,commit,--only
git,commit,-p
git,commit,--patch
git,commit,--pathspec-file-nul
git,commit,--pathspec-from-file
git,commit,--porcelain
git,commit,--post-rewrite
git,commit,-q
git,commit,--quiet
git,commit,--reedit-message
git,commit,--reset-author
git,commit,--reuse-message
git,commit,-s
git,commit,-S
git,commit,--short
git,commit,--signoff
git,commit,--squash
git,commit,--status
git,commit,-t
git,commit,--template
git,commit,--trailer
git,commit,-u
git,commit,-U
git,commit,--unified
git,commit,--untracked-files
git,commit,-v
git,commit,--verbose
git,commit,--verify
git,commit,-z
git,config,--add
git,config,--all
git,config,--append
git,config,--blob
git,config,--bool
git,config,--bool-or-int
git,config,--comment
git,config,--default
git,config,-e
git,config,--edit
git,config,--expiry-date
git,config,-f
git,config,--file
git,config,--fixed-value
git,config,--get
git,config,--get-all
git,config,--get-color
git,config,--get-colorbool
git,config,--get-regexp
git,config,--get-urlmatch
git,config,--global
git,config,--includes
git,config,--int
git,config,-l
git,config,--list
git,config,--local
git,config,--name-only
git,config,--no-includes
git,config,--no-show-names
git,config,--no-type
git,config,--no-value
git,config,--null
git,config,--path
git,config,--regexp
git,config,--remove-section
git,config,--rename-section
git,config,--replace-all
git,config,--show-names
git,config,--show-origin
git,config,--show-scope
git,config,--system
git,config,--type
git,config,--unset
git,config,--unset-all
git,config,--url
git,config,--value
git,config,--worktree
git,config,-z
git,count-objects,--
git,count-objects,-H
git,count-objects,--human-readable
git,count-objects,--no-human-readable
git,count-objects,--no-verbose
git,count-objects,-v
git,count-objects,--verbose
git,credential-cache--daemon,--daemon
git,credential-cache--daemon,--debug
git,credential-cache--daemon,--no-debug
git,credential-cache,--
git,credential-cache,--no-socket
git,credential-cache,--no-timeout
git,credential-cache,--socket
git,credential-cache,--timeout
git,credential-netrc,-d
git,credential-netrc,--debug
git,credential-netrc,-f
git,credential-netrc,--file
git,credential-netrc,-g
git,credential-netrc,--gpg
git,credential-netrc,--insecure
git,credential-netrc,-k
git,credential-netrc,-v
git,credential-netrc,--verbose
git,credential-store,--file
git,credential-store,--no-file
git,describe,--
git,describe,--abbrev
git,describe,--all
git,describe,--always
git,describe,--broken
git,describe,--candidates
git,describe,--contains
git,describe,--debug
git,describe,--dirty
git,describe,--exact-match
git,describe,--exclude
git,describe,--first-parent
git,describe,--long
git,describe,--match
git,describe,--no-abbrev
git,describe,--no-all
git,describe,--no-always
git,describe,--no-broken
git,describe,--no-candidates
git,describe,--no-contains
git,describe,--no-debug
git,describe,--no-dirty
git,describe,--no-exact-match
git,describe,--no-exclude
git,describe,--no-first-parent
git,describe,--no-long
git,describe,--no-match
git,describe,--no-tags
git,describe,--tags
git,diagnose,--
git,diagnose,--mode
git,diagnose,--no-output-directory
git,diagnose,--no-suffix
git,diagnose,-o
git,diagnose,--output-directory
git,diagnose,-s
git,diagnose,--suffix
git,diff-files,--
git,diff-files,-0
git,diff-files,-1
git,diff-files,-2
git,diff-files,-3
git,diff-files,-a
git,diff-files,--abbrev
git,diff-files,--anchored
git,diff-files,-b
git,diff-files,-B
git,diff-files,--base
git,diff-files,--binary
git,diff-files,--break-rewrites
git,diff-files,-c
git,diff-files,-C
git,diff-files,--cc
git,diff-files,--check
git,diff-files,--color
git,diff-files,--color-moved
git,diff-files,--color-moved-ws
git,diff-files,--color-words
git,diff-files,--compact-summary
git,diff-files,--cumulative
git,diff-files,-D
git,diff-files,--default-prefix
git,diff-files,--diff-algorithm
git,diff-files,--diff-filter
git,diff-files,--dirstat
git,diff-files,--dirstat-by-file
git,diff-files,--dst-prefix
git,diff-files,--exit-code
git,diff-files,--ext-diff
git,diff-files,--find-copies
git,diff-files,--find-copies-harder
git,diff-files,--find-object
git,diff-files,--find-renames
git,diff-files,--follow
git,diff-files,--full-index
git,diff-files,--function-context
git,diff-files,-G
git,diff-files,--histogram
git,diff-files,-I
git,diff-files,--ignore-all-space
git,diff-files,--ignore-blank-lines
git,diff-files,--ignore-cr-at-eol
git,diff-files,--ignore-matching-lines
git,diff-files,--ignore-space-at-eol
git,diff-files,--ignore-space-change
git,diff-files,--ignore-submodules
git,diff-files,--indent-heuristic
git,diff-files,--inter-hunk-context
git,diff-files,--irreversible-delete
git,diff-files,--ita-invisible-in-index
git,diff-files,--ita-visible-in-index
git,diff-files,-l
git,diff-files,--line-prefix
git,diff-files,-M
git,diff-files,--max-depth
git,diff-files,--minimal
git,diff-files,--name-only
git,diff-files,--name-status
git,diff-files,--no-abbrev
git,diff-files,--no-color
git,diff-files,--no-color-moved
git,diff-files,--no-color-moved-ws
git,diff-files,--no-compact-summary
git,diff-files,--no-exit-code
git,diff-files,--no-ext-diff
git,diff-files,--no-find-copies-harder
git,diff-files,--no-follow
git,diff-files,--no-full-index
git,diff-files,--no-function-context
git,diff-files,--no-ignore-matching-lines
git,diff-files,--no-indent-heuristic
git,diff-files,--no-patch
git,diff-files,--no-prefix
git,diff-files,--no-quiet
git,diff-files,--no-relative
git,diff-files,--no-rename-empty
git,diff-files,--no-renames
git,diff-files,--no-text
git,diff-files,--no-textconv
git,diff-files,--numstat
git,diff-files,-O
git,diff-files,--ours
git,diff-files,--output
git,diff-files,--output-indicator-context
git,diff-files,--output-indicator-new
git,diff-files,--output-indicator-old
git,diff-files,-p
git,diff-files,--patch
git,diff-files,--patch-with-raw
git,diff-files,--patch-with-stat
git,diff-files,--patience
git,diff-files,--pickaxe-all
git,diff-files,--pickaxe-regex
git,diff-files,-q
git,diff-files,--quiet
git,diff-files,-R
git,diff-files,--raw
git,diff-files,--relative
git,diff-files,--rename-empty
git,diff-files,--rotate-to
git,diff-files,-s
git,diff-files,-S
git,diff-files,--shortstat
git,diff-files,--skip-to
git,diff-files,--src-prefix
git,diff-files,--stat
git,diff-files,--stat-count
git,diff-files,--stat-graph-width
git,diff-files,--stat-name-width
git,diff-files,--stat-width
git,diff-files,--submodule
git,diff-files,--summary
git,diff-files,--text
git,diff-files,--textconv
git,diff-files,--theirs
git,diff-files,-u
git,diff-files,-U
git,diff-files,--unified
git,diff-files,-w
git,diff-files,-W
git,diff-files,--word-diff
git,diff-files,--word-diff-regex
git,diff-files,--ws-error-highlight
git,diff-files,-X
git,diff-files,-z
git,diff-index,--
git,diff-index,-a
git,diff-index,--abbrev
git,diff-index,--anchored
git,diff-index,-b
git,diff-index,-B
git,diff-index,--binary
git,diff-index,--break-rewrites
git,diff-index,-C
git,diff-index,--cached
git,diff-index,--check
git,diff-index,--color
git,diff-index,--color-moved
git,diff-index,--color-moved-ws
git,diff-index,--color-words
git,diff-index,--compact-summary
git,diff-index,--cumulative
git,diff-index,-D
git,diff-index,--default-prefix
git,diff-index,--diff-algorithm
git,diff-index,--diff-filter
git,diff-index,--dirstat
